#Types of uses: Office, Education, Student Resident, Transit, Art and Culture,
#                       Retail, Light Industry, Resident
#
#Time;Out;In;Delay_Level
#
#Morning
0;Office;Retail;30
0;Education;Retail;30
0;Student Resident;Retail;18
0;Transit;Office;20
0;Transit;Education;12
0;Transit;Retail;18
0;Transit;Light Industry;12
0;Resident;Office;15
0;Resident;Education;12
0;Resident;Transit;12
0;Resident;Retail;12
0;Resident;Light Industry;24
0;Retail;Office;16
0;Retail;Education;16
0;Retail;Light Industry;18
#
#Noon
1;Office;Retail;16
1;Education;Art and Culture;24
1;Education;Retail;12
1;Student Resident;Retail;18
1;Transit;Education;24
1;Transit;Retail;24
1;Resident;Art and Culture;24
1;Resident;Transit;24
1;Resident;Retail;24
1;Light Industry;Retail;12
#
#Afternoon
2;Office;Art and Culture;36
2;Office;Retail;36
2;Education;Art and Culture;24
2;Education;Transit;30
2;Education;Retail;12
2;Transit;Office;36
2;Transit;Art and Culture;24
2;Transit;Retail;18
2;Resident;Transit;24
2;Resident;Retail;30
2;Retail;Office;24
2;Retail;Light Industry;18
#
#Evening
3;Office;Art and Culture;24
3;Office;Transit;24
3;Office;Resident;30
3;Office;Retail;24
3;Education;Art and Culture;18
3;Education;Transit;12
3;Education;Resident;20
3;Education;Retail;18
3;Student Resident;Retail;18
3;Transit;Art and Culture;18
3;Transit;Education;24
3;Transit;Resident;18
3;Transit;Retail;18
3;Resident;Art and Culture;18
3;Resident;Retail;18
3;Retail;Office;36
3;Retail;Resident;18
3;Retail;Light Industry;36
3;Light Industry;Art and Culture;24
3;Light Industry;Transit;16
3;Light Industry;Resident;24
3;Light Industry;Retail;24
#
#Late Evening
4;Office;Transit;36
4;Office;Resident;36
4;Office;Retail;36
4;Art and Culture;Transit;36
4;Art and Culture;Retail;36
4;Education;Transit;36
4;Education;Resident;36
4;Education;Retail;36
4;Transit;Resident;24
4;Resident;Retail;24
4;Retail;Office;36
4;Retail;Student Resident;36
4;Retail;Transit;36
4;Retail;Resident;24
4;Light Industry;Transit;36
4;Light Industry;Resident;36
4;Light Industry;Retail;36
